,topleft,topright,bottomleft,bottomright,radius
1033,"{'x': -80.83452703124999, 'y': 35.0369195625}","{'x': -80.839829, 'y': 35.0369195625}","{'x': -80.83452703124999, 'y': 35.030983171875}","{'x': -80.839829, 'y': 35.030983171875}",408.885500953149
1034,"{'x': -80.82922306249998, 'y': 35.030982171875}","{'x': -80.83452603125, 'y': 35.030982171875}","{'x': -80.82922306249998, 'y': 35.02504678125}","{'x': -80.83452603125, 'y': 35.02504678125}",408.87785601973377
1035,"{'x': -80.83452703124999, 'y': 35.030982171875}","{'x': -80.839829, 'y': 35.030982171875}","{'x': -80.83452703124999, 'y': 35.02504678125}","{'x': -80.839829, 'y': 35.02504678125}",408.8509763146902
1036,"{'x': -80.81861512499998, 'y': 35.0369195625}","{'x': -80.82391859374998, 'y': 35.0369195625}","{'x': -80.81861512499998, 'y': 35.030983171875}","{'x': -80.82391859374998, 'y': 35.030983171875}",408.92581248775673
1037,"{'x': -80.82391959374998, 'y': 35.0369195625}","{'x': -80.82922206249998, 'y': 35.0369195625}","{'x': -80.82391959374998, 'y': 35.030983171875}","{'x': -80.82922206249998, 'y': 35.030983171875}",408.89893730512915
1038,"{'x': -80.81861512499998, 'y': 35.030982171875}","{'x': -80.82391859374998, 'y': 35.030982171875}","{'x': -80.81861512499998, 'y': 35.02504678125}","{'x': -80.82391859374998, 'y': 35.02504678125}",408.8912971104792
1039,"{'x': -80.82391959374998, 'y': 35.030982171875}","{'x': -80.82922206249998, 'y': 35.030982171875}","{'x': -80.82391959374998, 'y': 35.02504678125}","{'x': -80.82922206249998, 'y': 35.02504678125}",408.8644157536797
1040,"{'x': -80.80800768749998, 'y': 35.02504578125}","{'x': -80.81331090624998, 'y': 35.02504578125}","{'x': -80.80800768749998, 'y': 35.019109890625}","{'x': -80.81331090624998, 'y': 35.019109890625}",408.9173650070011
1041,"{'x': -80.81331190624998, 'y': 35.02504578125}","{'x': -80.81861412499998, 'y': 35.02504578125}","{'x': -80.81331190624998, 'y': 35.019109890625}","{'x': -80.81861412499998, 'y': 35.019109890625}",408.89048272843576
1042,"{'x': -80.80800768749998, 'y': 35.019108890625006}","{'x': -80.81331090624998, 'y': 35.019108890625006}","{'x': -80.80800768749998, 'y': 35.013174}","{'x': -80.81331090624998, 'y': 35.013174}",408.88284929190496
1043,"{'x': -80.81331190624998, 'y': 35.019108890625006}","{'x': -80.81861412499998, 'y': 35.019108890625006}","{'x': -80.81331190624998, 'y': 35.013174}","{'x': -80.81861412499998, 'y': 35.013174}",408.8559608395196
1044,"{'x': -80.79739924999998, 'y': 35.02504578125}","{'x': -80.80270296874998, 'y': 35.02504578125}","{'x': -80.79739924999998, 'y': 35.019109890625}","{'x': -80.80270296874998, 'y': 35.019109890625}",408.9308073849187
1045,"{'x': -80.80270396874998, 'y': 35.02504578125}","{'x': -80.80800668749998, 'y': 35.02504578125}","{'x': -80.80270396874998, 'y': 35.019109890625}","{'x': -80.80800668749998, 'y': 35.019109890625}",408.9039234553224
1046,"{'x': -80.79739924999998, 'y': 35.019108890625006}","{'x': -80.80270296874998, 'y': 35.019108890625006}","{'x': -80.79739924999998, 'y': 35.013174}","{'x': -80.80270296874998, 'y': 35.013174}",408.8962947568089
1047,"{'x': -80.80270396874998, 'y': 35.019108890625006}","{'x': -80.80800668749998, 'y': 35.019108890625006}","{'x': -80.80270396874998, 'y': 35.013174}","{'x': -80.80800668749998, 'y': 35.013174}",408.86940465329087
1048,"{'x': -80.80800768749998, 'y': 35.0369195625}","{'x': -80.81331090624998, 'y': 35.0369195625}","{'x': -80.80800768749998, 'y': 35.030983171875}","{'x': -80.81331090624998, 'y': 35.030983171875}",408.9190933820054
1049,"{'x': -80.81331190624998, 'y': 35.0369195625}","{'x': -80.81861412499998, 'y': 35.0369195625}","{'x': -80.81331190624998, 'y': 35.030983171875}","{'x': -80.81861412499998, 'y': 35.030983171875}",408.89221902633017
1050,"{'x': -80.80800768749998, 'y': 35.030982171875}","{'x': -80.81331090624998, 'y': 35.030982171875}","{'x': -80.80800768749998, 'y': 35.02504678125}","{'x': -80.81331090624998, 'y': 35.02504678125}",408.88457646116564
1051,"{'x': -80.81331190624998, 'y': 35.030982171875}","{'x': -80.81861412499998, 'y': 35.030982171875}","{'x': -80.81331190624998, 'y': 35.02504678125}","{'x': -80.81861412499998, 'y': 35.02504678125}",408.85769593136973
1052,"{'x': -80.79739924999998, 'y': 35.0369195625}","{'x': -80.80270296874998, 'y': 35.0369195625}","{'x': -80.79739924999998, 'y': 35.030983171875}","{'x': -80.80270296874998, 'y': 35.030983171875}",408.93253179831106
1053,"{'x': -80.80270396874998, 'y': 35.0369195625}","{'x': -80.80800668749998, 'y': 35.0369195625}","{'x': -80.80270396874998, 'y': 35.030983171875}","{'x': -80.80800668749998, 'y': 35.030983171875}",408.9056557918272
1054,"{'x': -80.79739924999998, 'y': 35.030982171875}","{'x': -80.80270296874998, 'y': 35.030982171875}","{'x': -80.79739924999998, 'y': 35.02504678125}","{'x': -80.80270296874998, 'y': 35.02504678125}",408.89801796460796
1055,"{'x': -80.80270396874998, 'y': 35.030982171875}","{'x': -80.80800668749998, 'y': 35.030982171875}","{'x': -80.80270396874998, 'y': 35.02504678125}","{'x': -80.80800668749998, 'y': 35.02504678125}",408.8711357839017
1056,"{'x': -80.82922306249998, 'y': 35.04879284375001}","{'x': -80.83452603125, 'y': 35.04879284375001}","{'x': -80.82922306249998, 'y': 35.042856703125004}","{'x': -80.83452603125, 'y': 35.042856703125004}",408.8804461310773
1057,"{'x': -80.83452703124999, 'y': 35.04879284375001}","{'x': -80.839829, 'y': 35.04879284375001}","{'x': -80.83452703124999, 'y': 35.042856703125004}","{'x': -80.839829, 'y': 35.042856703125004}",408.8535783120828
1058,"{'x': -80.82922306249998, 'y': 35.04285570312501}","{'x': -80.83452603125, 'y': 35.04285570312501}","{'x': -80.82922306249998, 'y': 35.0369205625}","{'x': -80.83452603125, 'y': 35.0369205625}",408.84592798078836
1059,"{'x': -80.83452703124999, 'y': 35.04285570312501}","{'x': -80.839829, 'y': 35.04285570312501}","{'x': -80.83452703124999, 'y': 35.0369205625}","{'x': -80.839829, 'y': 35.0369205625}",408.8190539873225
1060,"{'x': -80.81861512499998, 'y': 35.04879284375001}","{'x': -80.82391859374998, 'y': 35.04879284375001}","{'x': -80.81861512499998, 'y': 35.042856703125004}","{'x': -80.82391859374998, 'y': 35.042856703125004}",408.89388127854767
1061,"{'x': -80.82391959374998, 'y': 35.04879284375001}","{'x': -80.82922206249998, 'y': 35.04879284375001}","{'x': -80.82391959374998, 'y': 35.042856703125004}","{'x': -80.82922206249998, 'y': 35.042856703125004}",408.8670118081316
1062,"{'x': -80.81861512499998, 'y': 35.04285570312501}","{'x': -80.82391859374998, 'y': 35.04285570312501}","{'x': -80.81861512499998, 'y': 35.0369205625}","{'x': -80.82391859374998, 'y': 35.0369205625}",408.8593662155707
1063,"{'x': -80.82391959374998, 'y': 35.04285570312501}","{'x': -80.82922206249998, 'y': 35.04285570312501}","{'x': -80.82391959374998, 'y': 35.0369205625}","{'x': -80.82922206249998, 'y': 35.0369205625}",408.83249057058123
1064,"{'x': -80.82922306249998, 'y': 35.06066712500001}","{'x': -80.83452603125, 'y': 35.06066712500001}","{'x': -80.82922306249998, 'y': 35.05473048437501}","{'x': -80.83452603125, 'y': 35.05473048437501}",408.8821704661966
1065,"{'x': -80.83452703124999, 'y': 35.06066712500001}","{'x': -80.839829, 'y': 35.06066712500001}","{'x': -80.83452703124999, 'y': 35.05473048437501}","{'x': -80.839829, 'y': 35.05473048437501}",408.85531057278763
1066,"{'x': -80.82922306249998, 'y': 35.05472948437501}","{'x': -80.83452603125, 'y': 35.05472948437501}","{'x': -80.82922306249998, 'y': 35.048793843750005}","{'x': -80.83452603125, 'y': 35.048793843750005}",408.84765110760554
1067,"{'x': -80.83452703124999, 'y': 35.05472948437501}","{'x': -80.839829, 'y': 35.05472948437501}","{'x': -80.83452703124999, 'y': 35.048793843750005}","{'x': -80.839829, 'y': 35.048793843750005}",408.8207850394261
1068,"{'x': -80.81861512499998, 'y': 35.06066712500001}","{'x': -80.82391859374998, 'y': 35.06066712500001}","{'x': -80.81861512499998, 'y': 35.05473048437501}","{'x': -80.82391859374998, 'y': 35.05473048437501}",408.89560165070696
1069,"{'x': -80.82391959374998, 'y': 35.06066712500001}","{'x': -80.82922206249998, 'y': 35.06066712500001}","{'x': -80.82391959374998, 'y': 35.05473048437501}","{'x': -80.82922206249998, 'y': 35.05473048437501}",408.86874010609966
