,topleft,topright,bottomleft,bottomright,radius
2363,"{'x': -80.89817474999998, 'y': 35.244709203125005}","{'x': -80.903477, 'y': 35.244709203125005}","{'x': -80.89817474999998, 'y': 35.238773531250004}","{'x': -80.903477, 'y': 35.238773531250004}",408.4978371974745
2364,"{'x': -80.882262, 'y': 35.250646875}","{'x': -80.88756575, 'y': 35.250646875}","{'x': -80.882262, 'y': 35.244710203125}","{'x': -80.88756575, 'y': 35.244710203125}",408.57250165846574
2365,"{'x': -80.88756674999999, 'y': 35.250646875}","{'x': -80.89286949999999, 'y': 35.250646875}","{'x': -80.88756674999999, 'y': 35.244710203125}","{'x': -80.89286949999999, 'y': 35.244710203125}",408.5457427087875
2366,"{'x': -80.882262, 'y': 35.244709203125005}","{'x': -80.88756575, 'y': 35.244709203125005}","{'x': -80.882262, 'y': 35.238773531250004}","{'x': -80.88756575, 'y': 35.238773531250004}",408.5379836579806
2367,"{'x': -80.88756674999999, 'y': 35.244709203125005}","{'x': -80.89286949999999, 'y': 35.244709203125005}","{'x': -80.88756674999999, 'y': 35.238773531250004}","{'x': -80.89286949999999, 'y': 35.238773531250004}",408.51121852757996
2368,"{'x': -80.87165474999999, 'y': 35.21502534375}","{'x': -80.87695787499999, 'y': 35.21502534375}","{'x': -80.87165474999999, 'y': 35.209089421875}","{'x': -80.87695787499999, 'y': 35.209089421875}",408.584425196159
2369,"{'x': -80.87695887499999, 'y': 35.21502534375}","{'x': -80.882261, 'y': 35.21502534375}","{'x': -80.87695887499999, 'y': 35.209089421875}","{'x': -80.882261, 'y': 35.209089421875}",408.557646675652
2370,"{'x': -80.87165474999999, 'y': 35.209088421875}","{'x': -80.87695787499999, 'y': 35.209088421875}","{'x': -80.87165474999999, 'y': 35.2031535}","{'x': -80.87695787499999, 'y': 35.2031535}",408.5499055300917
2371,"{'x': -80.87695887499999, 'y': 35.209088421875}","{'x': -80.882261, 'y': 35.209088421875}","{'x': -80.87695887499999, 'y': 35.2031535}","{'x': -80.882261, 'y': 35.2031535}",408.52312082996593
2372,"{'x': -80.86104649999999, 'y': 35.21502534375}","{'x': -80.866350125, 'y': 35.21502534375}","{'x': -80.86104649999999, 'y': 35.209089421875}","{'x': -80.866350125, 'y': 35.209089421875}",408.5978156930735
2373,"{'x': -80.866351125, 'y': 35.21502534375}","{'x': -80.87165375, 'y': 35.21502534375}","{'x': -80.866351125, 'y': 35.209089421875}","{'x': -80.87165375, 'y': 35.209089421875}",408.57103552441924
2374,"{'x': -80.86104649999999, 'y': 35.209088421875}","{'x': -80.866350125, 'y': 35.209088421875}","{'x': -80.86104649999999, 'y': 35.2031535}","{'x': -80.866350125, 'y': 35.2031535}",408.5632991168936
2375,"{'x': -80.866351125, 'y': 35.209088421875}","{'x': -80.87165375, 'y': 35.209088421875}","{'x': -80.866351125, 'y': 35.2031535}","{'x': -80.87165375, 'y': 35.2031535}",408.5365127685168
2376,"{'x': -80.87165474999999, 'y': 35.2268991875}","{'x': -80.87695787499999, 'y': 35.2268991875}","{'x': -80.87165474999999, 'y': 35.220962765625}","{'x': -80.87695787499999, 'y': 35.220962765625}",408.58610631661577
2377,"{'x': -80.87695887499999, 'y': 35.2268991875}","{'x': -80.882261, 'y': 35.2268991875}","{'x': -80.87695887499999, 'y': 35.220962765625}","{'x': -80.882261, 'y': 35.220962765625}",408.5593357404527
2378,"{'x': -80.87165474999999, 'y': 35.220961765625006}","{'x': -80.87695787499999, 'y': 35.220961765625006}","{'x': -80.87165474999999, 'y': 35.21502634375}","{'x': -80.87695787499999, 'y': 35.21502634375}",408.55158541398004
2379,"{'x': -80.87695887499999, 'y': 35.220961765625006}","{'x': -80.882261, 'y': 35.220961765625006}","{'x': -80.87695887499999, 'y': 35.21502634375}","{'x': -80.882261, 'y': 35.21502634375}",408.524808657907
2380,"{'x': -80.86104649999999, 'y': 35.2268991875}","{'x': -80.866350125, 'y': 35.2268991875}","{'x': -80.86104649999999, 'y': 35.220962765625}","{'x': -80.866350125, 'y': 35.220962765625}",408.59949284118943
2381,"{'x': -80.866351125, 'y': 35.2268991875}","{'x': -80.87165375, 'y': 35.2268991875}","{'x': -80.866351125, 'y': 35.220962765625}","{'x': -80.87165375, 'y': 35.220962765625}",408.572720617104
2382,"{'x': -80.86104649999999, 'y': 35.220961765625006}","{'x': -80.866350125, 'y': 35.220961765625006}","{'x': -80.86104649999999, 'y': 35.21502634375}","{'x': -80.866350125, 'y': 35.21502634375}",408.56497502858684
2383,"{'x': -80.866351125, 'y': 35.220961765625006}","{'x': -80.87165375, 'y': 35.220961765625006}","{'x': -80.866351125, 'y': 35.21502634375}","{'x': -80.87165375, 'y': 35.21502634375}",408.5381966244875
2384,"{'x': -80.85043875, 'y': 35.21502534375}","{'x': -80.85574212499999, 'y': 35.21502534375}","{'x': -80.85043875, 'y': 35.209089421875}","{'x': -80.85574212499999, 'y': 35.209089421875}",408.59112034128407
2385,"{'x': -80.85574312499999, 'y': 35.21502534375}","{'x': -80.86104549999999, 'y': 35.21502534375}","{'x': -80.85574312499999, 'y': 35.209089421875}","{'x': -80.86104549999999, 'y': 35.209089421875}",408.5643409970638
2386,"{'x': -80.85043875, 'y': 35.209088421875}","{'x': -80.85574212499999, 'y': 35.209088421875}","{'x': -80.85043875, 'y': 35.2031535}","{'x': -80.85574212499999, 'y': 35.2031535}",408.556602220154
2387,"{'x': -80.85574312499999, 'y': 35.209088421875}","{'x': -80.86104549999999, 'y': 35.209088421875}","{'x': -80.85574312499999, 'y': 35.2031535}","{'x': -80.86104549999999, 'y': 35.2031535}",408.5298166962631
2388,"{'x': -80.83982999999999, 'y': 35.21502534375}","{'x': -80.84513387499999, 'y': 35.21502534375}","{'x': -80.83982999999999, 'y': 35.209089421875}","{'x': -80.84513387499999, 'y': 35.209089421875}",408.60451124999486
2389,"{'x': -80.84513487499999, 'y': 35.21502534375}","{'x': -80.85043775, 'y': 35.21502534375}","{'x': -80.84513487499999, 'y': 35.209089421875}","{'x': -80.85043775, 'y': 35.209089421875}",408.577730257708
2390,"{'x': -80.83982999999999, 'y': 35.209088421875}","{'x': -80.84513387499999, 'y': 35.209088421875}","{'x': -80.83982999999999, 'y': 35.2031535}","{'x': -80.84513387499999, 'y': 35.2031535}",408.5699962187778
2391,"{'x': -80.84513487499999, 'y': 35.209088421875}","{'x': -80.85043775, 'y': 35.209088421875}","{'x': -80.84513487499999, 'y': 35.2031535}","{'x': -80.85043775, 'y': 35.2031535}",408.54320904671675
2392,"{'x': -80.85043875, 'y': 35.2268991875}","{'x': -80.85574212499999, 'y': 35.2268991875}","{'x': -80.85043875, 'y': 35.220962765625}","{'x': -80.85574212499999, 'y': 35.220962765625}",408.5927994755846
2393,"{'x': -80.85574312499999, 'y': 35.2268991875}","{'x': -80.86104549999999, 'y': 35.2268991875}","{'x': -80.85574312499999, 'y': 35.220962765625}","{'x': -80.86104549999999, 'y': 35.220962765625}",408.5660280758206
2394,"{'x': -80.85043875, 'y': 35.220961765625006}","{'x': -80.85574212499999, 'y': 35.220961765625006}","{'x': -80.85043875, 'y': 35.21502634375}","{'x': -80.85574212499999, 'y': 35.21502634375}",408.5582801179589
2395,"{'x': -80.85574312499999, 'y': 35.220961765625006}","{'x': -80.86104549999999, 'y': 35.220961765625006}","{'x': -80.85574312499999, 'y': 35.21502634375}","{'x': -80.86104549999999, 'y': 35.21502634375}",408.531502538233
2396,"{'x': -80.83982999999999, 'y': 35.2268991875}","{'x': -80.84513387499999, 'y': 35.2268991875}","{'x': -80.83982999999999, 'y': 35.220962765625}","{'x': -80.84513387499999, 'y': 35.220962765625}",408.6061864118983
2397,"{'x': -80.84513487499999, 'y': 35.2268991875}","{'x': -80.85043775, 'y': 35.2268991875}","{'x': -80.84513487499999, 'y': 35.220962765625}","{'x': -80.85043775, 'y': 35.220962765625}",408.5794133642927
2398,"{'x': -80.83982999999999, 'y': 35.220961765625006}","{'x': -80.84513387499999, 'y': 35.220961765625006}","{'x': -80.83982999999999, 'y': 35.21502634375}","{'x': -80.84513387499999, 'y': 35.21502634375}",408.57167014433145
2399,"{'x': -80.84513487499999, 'y': 35.220961765625006}","{'x': -80.85043775, 'y': 35.220961765625006}","{'x': -80.84513487499999, 'y': 35.21502634375}","{'x': -80.85043775, 'y': 35.21502634375}",408.5448909166603
2400,"{'x': -80.87165474999999, 'y': 35.23877253125001}","{'x': -80.87695787499999, 'y': 35.23877253125001}","{'x': -80.87165474999999, 'y': 35.232836359375}","{'x': -80.87695787499999, 'y': 35.232836359375}",408.55410172585476
2401,"{'x': -80.87695887499999, 'y': 35.23877253125001}","{'x': -80.882261, 'y': 35.23877253125001}","{'x': -80.87695887499999, 'y': 35.232836359375}","{'x': -80.882261, 'y': 35.232836359375}",408.5273368881656
2402,"{'x': -80.87165474999999, 'y': 35.232835359375}","{'x': -80.87695787499999, 'y': 35.232835359375}","{'x': -80.87165474999999, 'y': 35.2269001875}","{'x': -80.87695787499999, 'y': 35.2269001875}",408.5195811008187
2403,"{'x': -80.87695887499999, 'y': 35.232835359375}","{'x': -80.882261, 'y': 35.232835359375}","{'x': -80.87695887499999, 'y': 35.2269001875}","{'x': -80.882261, 'y': 35.2269001875}",408.4928100828271
2404,"{'x': -80.86104649999999, 'y': 35.23877253125001}","{'x': -80.866350125, 'y': 35.23877253125001}","{'x': -80.86104649999999, 'y': 35.232836359375}","{'x': -80.866350125, 'y': 35.232836359375}",408.5674853810161
2405,"{'x': -80.866351125, 'y': 35.23877253125001}","{'x': -80.87165375, 'y': 35.23877253125001}","{'x': -80.866351125, 'y': 35.232836359375}","{'x': -80.87165375, 'y': 35.232836359375}",408.5407188956383
2406,"{'x': -80.86104649999999, 'y': 35.232835359375}","{'x': -80.866350125, 'y': 35.232835359375}","{'x': -80.86104649999999, 'y': 35.2269001875}","{'x': -80.866350125, 'y': 35.2269001875}",408.5329678462092
2407,"{'x': -80.866351125, 'y': 35.232835359375}","{'x': -80.87165375, 'y': 35.232835359375}","{'x': -80.866351125, 'y': 35.2269001875}","{'x': -80.87165375, 'y': 35.2269001875}",408.5061951804252
2408,"{'x': -80.87165474999999, 'y': 35.250646875}","{'x': -80.87695787499999, 'y': 35.250646875}","{'x': -80.87165474999999, 'y': 35.244710203125}","{'x': -80.87695787499999, 'y': 35.244710203125}",408.55577692861596
2409,"{'x': -80.87695887499999, 'y': 35.250646875}","{'x': -80.882261, 'y': 35.250646875}","{'x': -80.87695887499999, 'y': 35.244710203125}","{'x': -80.882261, 'y': 35.244710203125}",408.5290200380512
2410,"{'x': -80.87165474999999, 'y': 35.244709203125005}","{'x': -80.87695787499999, 'y': 35.244709203125005}","{'x': -80.87165474999999, 'y': 35.238773531250004}","{'x': -80.87695787499999, 'y': 35.238773531250004}",408.52125506515495
2411,"{'x': -80.87695887499999, 'y': 35.244709203125005}","{'x': -80.882261, 'y': 35.244709203125005}","{'x': -80.87695887499999, 'y': 35.238773531250004}","{'x': -80.882261, 'y': 35.238773531250004}",408.49449199399777
2412,"{'x': -80.86104649999999, 'y': 35.250646875}","{'x': -80.866350125, 'y': 35.250646875}","{'x': -80.86104649999999, 'y': 35.244710203125}","{'x': -80.866350125, 'y': 35.244710203125}",408.5691566100459
2413,"{'x': -80.866351125, 'y': 35.250646875}","{'x': -80.87165375, 'y': 35.250646875}","{'x': -80.866351125, 'y': 35.244710203125}","{'x': -80.87165375, 'y': 35.244710203125}",408.5423980720179
2414,"{'x': -80.86104649999999, 'y': 35.244709203125005}","{'x': -80.866350125, 'y': 35.244709203125005}","{'x': -80.86104649999999, 'y': 35.238773531250004}","{'x': -80.866350125, 'y': 35.238773531250004}",408.5346378369591
2415,"{'x': -80.866351125, 'y': 35.244709203125005}","{'x': -80.87165375, 'y': 35.244709203125005}","{'x': -80.866351125, 'y': 35.238773531250004}","{'x': -80.87165375, 'y': 35.238773531250004}",408.5078731182349
2416,"{'x': -80.85043875, 'y': 35.23877253125001}","{'x': -80.85574212499999, 'y': 35.23877253125001}","{'x': -80.85043875, 'y': 35.232836359375}","{'x': -80.85574212499999, 'y': 35.232836359375}",408.5607934501321
2417,"{'x': -80.85574312499999, 'y': 35.23877253125001}","{'x': -80.86104549999999, 'y': 35.23877253125001}","{'x': -80.85574312499999, 'y': 35.232836359375}","{'x': -80.86104549999999, 'y': 35.232836359375}",408.53402778895884
2418,"{'x': -80.85043875, 'y': 35.232835359375}","{'x': -80.85574212499999, 'y': 35.232835359375}","{'x': -80.85043875, 'y': 35.2269001875}","{'x': -80.85574212499999, 'y': 35.2269001875}",408.5262743702042
2419,"{'x': -80.85574312499999, 'y': 35.232835359375}","{'x': -80.86104549999999, 'y': 35.232835359375}","{'x': -80.85574312499999, 'y': 35.2269001875}","{'x': -80.86104549999999, 'y': 35.2269001875}",408.49950252867654
2420,"{'x': -80.83982999999999, 'y': 35.23877253125001}","{'x': -80.84513387499999, 'y': 35.23877253125001}","{'x': -80.83982999999999, 'y': 35.232836359375}","{'x': -80.84513387499999, 'y': 35.232836359375}",408.57417751697477
2421,"{'x': -80.84513487499999, 'y': 35.23877253125001}","{'x': -80.85043775, 'y': 35.23877253125001}","{'x': -80.84513487499999, 'y': 35.232836359375}","{'x': -80.85043775, 'y': 35.232836359375}",408.54741020819387
2422,"{'x': -80.83982999999999, 'y': 35.232835359375}","{'x': -80.84513387499999, 'y': 35.232835359375}","{'x': -80.83982999999999, 'y': 35.2269001875}","{'x': -80.84513387499999, 'y': 35.2269001875}",408.539661527302
2423,"{'x': -80.84513487499999, 'y': 35.232835359375}","{'x': -80.85043775, 'y': 35.232835359375}","{'x': -80.84513487499999, 'y': 35.2269001875}","{'x': -80.85043775, 'y': 35.2269001875}",408.5128880380629
2424,"{'x': -80.85043875, 'y': 35.250646875}","{'x': -80.85574212499999, 'y': 35.250646875}","{'x': -80.85043875, 'y': 35.244710203125}","{'x': -80.85574212499999, 'y': 35.244710203125}",408.56246666604187
2425,"{'x': -80.85574312499999, 'y': 35.250646875}","{'x': -80.86104549999999, 'y': 35.250646875}","{'x': -80.85574312499999, 'y': 35.244710203125}","{'x': -80.86104549999999, 'y': 35.244710203125}",408.53570895210555
2426,"{'x': -80.85043875, 'y': 35.244709203125005}","{'x': -80.85574212499999, 'y': 35.244709203125005}","{'x': -80.85043875, 'y': 35.238773531250004}","{'x': -80.85574212499999, 'y': 35.238773531250004}",408.52794634776143
2427,"{'x': -80.85574312499999, 'y': 35.244709203125005}","{'x': -80.86104549999999, 'y': 35.244709203125005}","{'x': -80.85574312499999, 'y': 35.238773531250004}","{'x': -80.86104549999999, 'y': 35.238773531250004}",408.50118245318083
2428,"{'x': -80.83982999999999, 'y': 35.250646875}","{'x': -80.84513387499999, 'y': 35.250646875}","{'x': -80.83982999999999, 'y': 35.244710203125}","{'x': -80.84513387499999, 'y': 35.244710203125}",408.57584675909686
2429,"{'x': -80.84513487499999, 'y': 35.250646875}","{'x': -80.85043775, 'y': 35.250646875}","{'x': -80.84513487499999, 'y': 35.244710203125}","{'x': -80.85043775, 'y': 35.244710203125}",408.54908739777824
2430,"{'x': -80.83982999999999, 'y': 35.244709203125005}","{'x': -80.84513387499999, 'y': 35.244709203125005}","{'x': -80.83982999999999, 'y': 35.238773531250004}","{'x': -80.84513387499999, 'y': 35.238773531250004}",408.5413295312167
2431,"{'x': -80.84513487499999, 'y': 35.244709203125005}","{'x': -80.85043775, 'y': 35.244709203125005}","{'x': -80.84513487499999, 'y': 35.238773531250004}","{'x': -80.85043775, 'y': 35.238773531250004}",408.5145639891498
2432,"{'x': -80.914086, 'y': 35.26251996875}","{'x': -80.919389, 'y': 35.26251996875}","{'x': -80.914086, 'y': 35.256583921875}","{'x': -80.919389, 'y': 35.256583921875}",408.5035754987909
2433,"{'x': -80.91938999999999, 'y': 35.26251996875}","{'x': -80.924692, 'y': 35.26251996875}","{'x': -80.91938999999999, 'y': 35.256583921875}","{'x': -80.924692, 'y': 35.256583921875}",408.47682365760875
2434,"{'x': -80.914086, 'y': 35.256582921875}","{'x': -80.919389, 'y': 35.256582921875}","{'x': -80.914086, 'y': 35.250647875}","{'x': -80.919389, 'y': 35.250647875}",408.4690538928949
2435,"{'x': -80.91938999999999, 'y': 35.256582921875}","{'x': -80.924692, 'y': 35.256582921875}","{'x': -80.91938999999999, 'y': 35.250647875}","{'x': -80.924692, 'y': 35.250647875}",408.442295870704
2436,"{'x': -80.90347799999999, 'y': 35.26251996875}","{'x': -80.9087815, 'y': 35.26251996875}","{'x': -80.90347799999999, 'y': 35.256583921875}","{'x': -80.9087815, 'y': 35.256583921875}",408.5169526542404
2437,"{'x': -80.9087825, 'y': 35.26251996875}","{'x': -80.914085, 'y': 35.26251996875}","{'x': -80.9087825, 'y': 35.256583921875}","{'x': -80.914085, 'y': 35.256583921875}",408.4901991665535
2438,"{'x': -80.90347799999999, 'y': 35.256582921875}","{'x': -80.9087815, 'y': 35.256582921875}","{'x': -80.90347799999999, 'y': 35.250647875}","{'x': -80.9087815, 'y': 35.250647875}",408.4824341389267
2439,"{'x': -80.9087825, 'y': 35.256582921875}","{'x': -80.914085, 'y': 35.256582921875}","{'x': -80.9087825, 'y': 35.250647875}","{'x': -80.914085, 'y': 35.250647875}",408.455674470127
2440,"{'x': -80.914086, 'y': 35.2743940625}","{'x': -80.919389, 'y': 35.2743940625}","{'x': -80.914086, 'y': 35.268457515625}","{'x': -80.919389, 'y': 35.268457515625}",408.50524575506034
2441,"{'x': -80.91938999999999, 'y': 35.2743940625}","{'x': -80.924692, 'y': 35.2743940625}","{'x': -80.91938999999999, 'y': 35.268457515625}","{'x': -80.924692, 'y': 35.268457515625}",408.4785018635583
2442,"{'x': -80.914086, 'y': 35.268456515625004}","{'x': -80.919389, 'y': 35.268456515625004}","{'x': -80.914086, 'y': 35.262520968749996}","{'x': -80.919389, 'y': 35.262520968749996}",408.47072290668046
2443,"{'x': -80.91938999999999, 'y': 35.268456515625004}","{'x': -80.924692, 'y': 35.268456515625004}","{'x': -80.91938999999999, 'y': 35.262520968749996}","{'x': -80.924692, 'y': 35.262520968749996}",408.44397283388093
2444,"{'x': -80.90347799999999, 'y': 35.2743940625}","{'x': -80.9087815, 'y': 35.2743940625}","{'x': -80.90347799999999, 'y': 35.268457515625}","{'x': -80.9087815, 'y': 35.268457515625}",408.51861893550057
2445,"{'x': -80.9087825, 'y': 35.2743940625}","{'x': -80.914085, 'y': 35.2743940625}","{'x': -80.9087825, 'y': 35.268457515625}","{'x': -80.914085, 'y': 35.268457515625}",408.4918733977193
2446,"{'x': -80.90347799999999, 'y': 35.268456515625004}","{'x': -80.9087815, 'y': 35.268456515625004}","{'x': -80.90347799999999, 'y': 35.262520968749996}","{'x': -80.9087815, 'y': 35.262520968749996}",408.48409917784744
2447,"{'x': -80.9087825, 'y': 35.268456515625004}","{'x': -80.914085, 'y': 35.268456515625004}","{'x': -80.9087825, 'y': 35.262520968749996}","{'x': -80.914085, 'y': 35.262520968749996}",408.45734745866463
2448,"{'x': -80.89287049999999, 'y': 35.26251996875}","{'x': -80.89817374999998, 'y': 35.26251996875}","{'x': -80.89287049999999, 'y': 35.256583921875}","{'x': -80.89817374999998, 'y': 35.256583921875}",408.51026397361926
2449,"{'x': -80.89817474999998, 'y': 35.26251996875}","{'x': -80.903477, 'y': 35.26251996875}","{'x': -80.89817474999998, 'y': 35.256583921875}","{'x': -80.903477, 'y': 35.256583921875}",408.4835113091645
2450,"{'x': -80.89287049999999, 'y': 35.256582921875}","{'x': -80.89817374999998, 'y': 35.256582921875}","{'x': -80.89287049999999, 'y': 35.250647875}","{'x': -80.89817374999998, 'y': 35.250647875}",408.47574391300793
2451,"{'x': -80.89817474999998, 'y': 35.256582921875}","{'x': -80.903477, 'y': 35.256582921875}","{'x': -80.89817474999998, 'y': 35.250647875}","{'x': -80.903477, 'y': 35.250647875}",408.4489850674923
2452,"{'x': -80.882262, 'y': 35.26251996875}","{'x': -80.88756575, 'y': 35.26251996875}","{'x': -80.882262, 'y': 35.256583921875}","{'x': -80.88756575, 'y': 35.256583921875}",408.52364154064435
2453,"{'x': -80.88756674999999, 'y': 35.26251996875}","{'x': -80.89286949999999, 'y': 35.26251996875}","{'x': -80.88756674999999, 'y': 35.256583921875}","{'x': -80.89286949999999, 'y': 35.256583921875}",408.49688722976566
2454,"{'x': -80.882262, 'y': 35.256582921875}","{'x': -80.88756575, 'y': 35.256582921875}","{'x': -80.882262, 'y': 35.250647875}","{'x': -80.88756575, 'y': 35.250647875}",408.48912457064125
2455,"{'x': -80.88756674999999, 'y': 35.256582921875}","{'x': -80.89286949999999, 'y': 35.256582921875}","{'x': -80.88756674999999, 'y': 35.250647875}","{'x': -80.89286949999999, 'y': 35.250647875}",408.4623640785979
2456,"{'x': -80.89287049999999, 'y': 35.2743940625}","{'x': -80.89817374999998, 'y': 35.2743940625}","{'x': -80.89287049999999, 'y': 35.268457515625}","{'x': -80.89817374999998, 'y': 35.268457515625}",408.51193224239813
2457,"{'x': -80.89817474999998, 'y': 35.2743940625}","{'x': -80.903477, 'y': 35.2743940625}","{'x': -80.89817474999998, 'y': 35.268457515625}","{'x': -80.903477, 'y': 35.268457515625}",408.4851875277363
2458,"{'x': -80.89287049999999, 'y': 35.268456515625004}","{'x': -80.89817374999998, 'y': 35.268456515625004}","{'x': -80.89287049999999, 'y': 35.262520968749996}","{'x': -80.89817374999998, 'y': 35.262520968749996}",408.4774109393751
2459,"{'x': -80.89817474999998, 'y': 35.268456515625004}","{'x': -80.903477, 'y': 35.268456515625004}","{'x': -80.89817474999998, 'y': 35.262520968749996}","{'x': -80.903477, 'y': 35.262520968749996}",408.4506600433636
2460,"{'x': -80.882262, 'y': 35.2743940625}","{'x': -80.88756575, 'y': 35.2743940625}","{'x': -80.882262, 'y': 35.268457515625}","{'x': -80.88756575, 'y': 35.268457515625}",408.52530583435765
2461,"{'x': -80.88756674999999, 'y': 35.2743940625}","{'x': -80.89286949999999, 'y': 35.2743940625}","{'x': -80.88756674999999, 'y': 35.268457515625}","{'x': -80.89286949999999, 'y': 35.268457515625}",408.4985594734974
2462,"{'x': -80.882262, 'y': 35.268456515625004}","{'x': -80.88756575, 'y': 35.268456515625004}","{'x': -80.882262, 'y': 35.262520968749996}","{'x': -80.88756575, 'y': 35.262520968749996}",408.49078762208745
2463,"{'x': -80.88756674999999, 'y': 35.268456515625004}","{'x': -80.89286949999999, 'y': 35.268456515625004}","{'x': -80.88756674999999, 'y': 35.262520968749996}","{'x': -80.89286949999999, 'y': 35.262520968749996}",408.46403507977357
2464,"{'x': -80.914086, 'y': 35.286267656250004}","{'x': -80.919389, 'y': 35.286267656250004}","{'x': -80.914086, 'y': 35.280331359375}","{'x': -80.919389, 'y': 35.280331359375}",408.47322293801346
2465,"{'x': -80.91938999999999, 'y': 35.286267656250004}","{'x': -80.924692, 'y': 35.286267656250004}","{'x': -80.91938999999999, 'y': 35.280331359375}","{'x': -80.924692, 'y': 35.280331359375}",408.4464847915992
2466,"{'x': -80.914086, 'y': 35.280330359375}","{'x': -80.919389, 'y': 35.280330359375}","{'x': -80.914086, 'y': 35.2743950625}","{'x': -80.919389, 'y': 35.2743950625}",408.4387003582083
2467,"{'x': -80.91938999999999, 'y': 35.280330359375}","{'x': -80.924692, 'y': 35.280330359375}","{'x': -80.91938999999999, 'y': 35.2743950625}","{'x': -80.924692, 'y': 35.2743950625}",408.4119560301063
2468,"{'x': -80.90347799999999, 'y': 35.286267656250004}","{'x': -80.9087815, 'y': 35.286267656250004}","{'x': -80.90347799999999, 'y': 35.280331359375}","{'x': -80.9087815, 'y': 35.280331359375}",408.4865932457342
2469,"{'x': -80.9087825, 'y': 35.286267656250004}","{'x': -80.914085, 'y': 35.286267656250004}","{'x': -80.9087825, 'y': 35.280331359375}","{'x': -80.914085, 'y': 35.280331359375}",408.4598534532748
2470,"{'x': -80.90347799999999, 'y': 35.280330359375}","{'x': -80.9087815, 'y': 35.280330359375}","{'x': -80.90347799999999, 'y': 35.2743950625}","{'x': -80.9087815, 'y': 35.2743950625}",408.45207375685095
2471,"{'x': -80.9087825, 'y': 35.280330359375}","{'x': -80.914085, 'y': 35.280330359375}","{'x': -80.9087825, 'y': 35.2743950625}","{'x': -80.914085, 'y': 35.2743950625}",408.4253277825998
2472,"{'x': -80.914086, 'y': 35.29814225}","{'x': -80.919389, 'y': 35.29814225}","{'x': -80.914086, 'y': 35.292205453125}","{'x': -80.919389, 'y': 35.292205453125}",408.47488730477073
2473,"{'x': -80.91938999999999, 'y': 35.29814225}","{'x': -80.924692, 'y': 35.29814225}","{'x': -80.91938999999999, 'y': 35.292205453125}","{'x': -80.924692, 'y': 35.292205453125}",408.4481571108106
2474,"{'x': -80.914086, 'y': 35.292204453125}","{'x': -80.919389, 'y': 35.292204453125}","{'x': -80.914086, 'y': 35.28626865625}","{'x': -80.919389, 'y': 35.28626865625}",408.44036347679247
2475,"{'x': -80.91938999999999, 'y': 35.292204453125}","{'x': -80.924692, 'y': 35.292204453125}","{'x': -80.91938999999999, 'y': 35.28626865625}","{'x': -80.924692, 'y': 35.28626865625}",408.4136271008569
2476,"{'x': -80.90347799999999, 'y': 35.29814225}","{'x': -80.9087815, 'y': 35.29814225}","{'x': -80.90347799999999, 'y': 35.292205453125}","{'x': -80.9087815, 'y': 35.292205453125}",408.48825363609507
2477,"{'x': -80.9087825, 'y': 35.29814225}","{'x': -80.914085, 'y': 35.29814225}","{'x': -80.9087825, 'y': 35.292205453125}","{'x': -80.914085, 'y': 35.292205453125}",408.46152179631565
2478,"{'x': -80.90347799999999, 'y': 35.292204453125}","{'x': -80.9087815, 'y': 35.292204453125}","{'x': -80.90347799999999, 'y': 35.28626865625}","{'x': -80.9087815, 'y': 35.28626865625}",408.45373289918274
2479,"{'x': -80.9087825, 'y': 35.292204453125}","{'x': -80.914085, 'y': 35.292204453125}","{'x': -80.9087825, 'y': 35.28626865625}","{'x': -80.914085, 'y': 35.28626865625}",408.4269948773235
2480,"{'x': -80.89287049999999, 'y': 35.286267656250004}","{'x': -80.89817374999998, 'y': 35.286267656250004}","{'x': -80.89287049999999, 'y': 35.280331359375}","{'x': -80.89817374999998, 'y': 35.280331359375}",408.47990798900605
2481,"{'x': -80.89817474999998, 'y': 35.286267656250004}","{'x': -80.903477, 'y': 35.286267656250004}","{'x': -80.89817474999998, 'y': 35.280331359375}","{'x': -80.903477, 'y': 35.280331359375}",408.453169019549
2482,"{'x': -80.89287049999999, 'y': 35.280330359375}","{'x': -80.89817374999998, 'y': 35.280330359375}","{'x': -80.89287049999999, 'y': 35.2743950625}","{'x': -80.89817374999998, 'y': 35.2743950625}",408.44538695465536
2483,"{'x': -80.89817474999998, 'y': 35.280330359375}","{'x': -80.903477, 'y': 35.280330359375}","{'x': -80.89817474999998, 'y': 35.2743950625}","{'x': -80.903477, 'y': 35.2743950625}",408.41864180345857
2484,"{'x': -80.882262, 'y': 35.286267656250004}","{'x': -80.88756575, 'y': 35.286267656250004}","{'x': -80.882262, 'y': 35.280331359375}","{'x': -80.88756575, 'y': 35.280331359375}",408.49327870818763
2485,"{'x': -80.88756674999999, 'y': 35.286267656250004}","{'x': -80.89286949999999, 'y': 35.286267656250004}","{'x': -80.88756674999999, 'y': 35.280331359375}","{'x': -80.89286949999999, 'y': 35.280331359375}",408.46653809276637
2486,"{'x': -80.882262, 'y': 35.280330359375}","{'x': -80.88756575, 'y': 35.280330359375}","{'x': -80.882262, 'y': 35.2743950625}","{'x': -80.88756575, 'y': 35.2743950625}",408.4587607647849
2487,"{'x': -80.88756674999999, 'y': 35.280330359375}","{'x': -80.89286949999999, 'y': 35.280330359375}","{'x': -80.88756674999999, 'y': 35.2743950625}","{'x': -80.89286949999999, 'y': 35.2743950625}",408.43201396751977
