Population,Per Capita Income,Median Household Income,Household Owner,zip code tabulation area
5069.0,42253.0,58770.0,2117.0,27605
7129.0,25184.0,42380.0,4424.0,27817
281.0,17422.0,30625.0,228.0,27819
2598.0,21126.0,40134.0,1979.0,27820
2735.0,18286.0,31685.0,1831.0,27812
2373.0,19408.0,42091.0,1806.0,27816
4702.0,21328.0,39485.0,3523.0,27809
6786.0,23223.0,46087.0,4458.0,27807
1173.0,41240.0,74250.0,1030.0,27709
37522.0,24538.0,43592.0,20393.0,27704
21168.0,42646.0,81773.0,19105.0,27712
19187.0,23448.0,46214.0,12476.0,27803
29804.0,25885.0,46002.0,17519.0,27804
49816.0,32011.0,59324.0,30742.0,27703
4053.0,18922.0,39863.0,2951.0,27805
1810.0,22258.0,43810.0,1617.0,27808
51022.0,29652.0,50262.0,20656.0,27707
20279.0,17981.0,30241.0,9899.0,27801
8225.0,14932.0,31901.0,5231.0,27823
2162.0,24648.0,49688.0,2056.0,27814
1344.0,18750.0,34028.0,1091.0,27818
8508.0,25223.0,46591.0,6557.0,27822
49426.0,29679.0,50734.0,20924.0,27705
52711.0,40622.0,73808.0,30705.0,27713
367.0,20556.0,22619.0,286.0,27821
23027.0,21569.0,32940.0,6375.0,27701
2666.0,17309.0,38056.0,2173.0,27806
4510.0,19912.0,40574.0,2756.0,27810
770.0,20417.0,32422.0,461.0,27813
2467.0,27821.0,63125.0,2239.0,27865
1586.0,22373.0,35764.0,1052.0,27829
4685.0,22289.0,45335.0,3315.0,27830
2883.0,19076.0,36856.0,1708.0,27845
701.0,17000.0,20750.0,454.0,27847
58874.0,20090.0,44806.0,24764.0,27858
1156.0,9315.0,30487.0,435.0,27826
66.0,19028.0,42500.0,62.0,27827
1523.0,21209.0,37418.0,1057.0,27849
6168.0,35238.0,73854.0,4898.0,27837
1112.0,11573.0,30200.0,869.0,27843
16555.0,26168.0,50807.0,12122.0,27856
3503.0,19003.0,31225.0,1593.0,27839
1456.0,32750.0,56667.0,1184.0,27842
3235.0,15890.0,26477.0,2303.0,27844
243.0,-666666666.0,46010.0,204.0,27853
57038.0,20569.0,34512.0,23936.0,27834
59.0,12750.0,19167.0,43.0,27861
64.0,12857.0,16250.0,30.0,27825
5329.0,23905.0,47162.0,4314.0,27851
946.0,20231.0,31992.0,750.0,27857
12974.0,27532.0,55673.0,8714.0,27863
8745.0,21545.0,39432.0,5234.0,27828
517.0,14583.0,26471.0,314.0,27840
3399.0,25924.0,41652.0,2691.0,27852
4904.0,23268.0,38682.0,2872.0,27864
785.0,24423.0,34792.0,359.0,27866
2012.0,33052.0,62750.0,1123.0,27824
3247.0,23618.0,45227.0,2315.0,27846
5862.0,15473.0,29781.0,3360.0,27855
3487.0,17725.0,27513.0,2505.0,27831
2759.0,17319.0,35605.0,1711.0,27832
25.0,18250.0,-666666666.0,24.0,27841
1760.0,19583.0,36493.0,1343.0,27860
649.0,23250.0,33636.0,405.0,27862
6907.0,21937.0,40401.0,5068.0,27850
379.0,16466.0,19583.0,232.0,27872
1189.0,30287.0,61681.0,1188.0,27884
38981.0,20212.0,34626.0,16728.0,27893
848.0,31000.0,37639.0,573.0,27915
1386.0,19730.0,30474.0,954.0,27876
7584.0,22549.0,40364.0,4807.0,27882
27016.0,23290.0,38407.0,17745.0,27889
2461.0,19704.0,35343.0,1590.0,27888
1933.0,16004.0,28531.0,1297.0,27869
2461.0,15609.0,30080.0,1215.0,27890
451.0,23500.0,47813.0,298.0,27873
140.0,-666666666.0,-666666666.0,30.0,27881
283.0,25066.0,52188.0,215.0,27879
592.0,23669.0,-666666666.0,390.0,27875
2886.0,28649.0,65481.0,2098.0,27880
951.0,33918.0,66406.0,799.0,27916
1093.0,17901.0,-666666666.0,879.0,27919
1443.0,21903.0,31914.0,791.0,27920
2073.0,17961.0,35067.0,1039.0,27897
12015.0,20436.0,36240.0,6663.0,27910
909.0,14777.0,31250.0,345.0,27917
20624.0,21609.0,34938.0,12242.0,27886
5232.0,19503.0,41205.0,3806.0,27891
20746.0,34572.0,62676.0,14638.0,27896
14109.0,22931.0,36262.0,9086.0,27892
26033.0,21085.0,34889.0,15766.0,27870
1044.0,18934.0,-666666666.0,910.0,27885
1910.0,18785.0,24893.0,813.0,27878
3286.0,25861.0,42957.0,2330.0,27883
39577.0,25878.0,47274.0,21855.0,27909
4416.0,19003.0,35552.0,2819.0,27871
3991.0,22710.0,32123.0,2340.0,27874
5041.0,39326.0,67418.0,3402.0,27921
600.0,26176.0,46250.0,282.0,27923
827.0,19500.0,39079.0,651.0,27942
10402.0,40597.0,82843.0,9029.0,27958
3934.0,17527.0,34796.0,2287.0,27925
771.0,26760.0,68125.0,548.0,27927
1405.0,36708.0,74167.0,1356.0,27929
11944.0,25114.0,44468.0,8412.0,27944
1088.0,32083.0,52898.0,952.0,27946
1085.0,30123.0,44188.0,519.0,27953
500.0,50326.0,-666666666.0,385.0,27956
1464.0,23105.0,42222.0,1186.0,27957
638.0,29900.0,61250.0,443.0,27964
120.0,40577.0,49375.0,50.0,27968
7304.0,34163.0,73731.0,5988.0,27949
958.0,22188.0,39516.0,664.0,27966
3275.0,20632.0,31880.0,2934.0,27924
1822.0,17675.0,35000.0,1216.0,27928
1648.0,31977.0,63914.0,1351.0,27935
4426.0,22533.0,54217.0,3764.0,27937
7592.0,17212.0,35601.0,4147.0,27962
1572.0,33813.0,54483.0,1246.0,27926
1610.0,24056.0,55625.0,1383.0,27947
2868.0,28750.0,56719.0,1795.0,27959
669.0,25909.0,41250.0,497.0,27965
865.0,20368.0,40547.0,738.0,27922
976.0,21773.0,37813.0,752.0,27936
2300.0,26801.0,55357.0,1662.0,27939
2156.0,35024.0,59071.0,1833.0,27950
7161.0,26806.0,50110.0,5084.0,27954
2928.0,22279.0,29590.0,2016.0,27970
12246.0,23466.0,41162.0,7785.0,27932
613.0,38634.0,59861.0,568.0,27941
404.0,26023.0,59904.0,119.0,27960
248.0,22159.0,28750.0,209.0,27967
1441.0,22250.0,43427.0,995.0,27938
395.0,48242.0,80260.0,380.0,27943
11114.0,28453.0,55700.0,6531.0,27948
1118.0,28802.0,51645.0,785.0,27973
143.0,22171.0,43295.0,100.0,27978
2054.0,26166.0,45152.0,1824.0,27980
1619.0,26297.0,46813.0,743.0,27981
8887.0,16003.0,27713.0,4978.0,27983
67.0,17269.0,-666666666.0,58.0,27982
3086.0,18906.0,32778.0,701.0,27986
1201.0,24985.0,41786.0,747.0,27974
382.0,11719.0,25179.0,170.0,27985
269.0,-666666666.0,-666666666.0,130.0,27972
3710.0,35599.0,76250.0,3539.0,27976
1583.0,30448.0,50721.0,1131.0,27979
89.0,11071.0,21964.0,28.0,28039
26478.0,24462.0,44270.0,16959.0,28001
690.0,19158.0,35809.0,587.0,28007
4950.0,18856.0,36193.0,3893.0,28018
1877.0,25582.0,44844.0,1465.0,28020
53874.0,28001.0,52106.0,34972.0,28025
1160.0,18186.0,36429.0,931.0,28006
692.0,2499.0,-666666666.0,0.0,28017
13880.0,23242.0,44827.0,9871.0,28021
15577.0,25418.0,50123.0,11026.0,28023
17412.0,37861.0,114641.0,12672.0,28036
0.0,-666666666.0,-666666666.0,0.0,28019
3595.0,28493.0,50975.0,2982.0,28033
27116.0,42477.0,86027.0,19231.0,28031
8054.0,20353.0,39317.0,5890.0,28040
19947.0,36636.0,70968.0,15904.0,28037
1211.0,22250.0,32788.0,734.0,28009
13244.0,21728.0,39163.0,8139.0,28016
17375.0,22503.0,44495.0,12020.0,28034
22730.0,30458.0,61548.0,14967.0,28012
61581.0,32153.0,67274.0,43961.0,28027
3314.0,26500.0,55375.0,1850.0,28032
7297.0,26692.0,54801.0,5716.0,28107
79.0,30833.0,61917.0,79.0,28108
1174.0,24653.0,48304.0,769.0,28072
507.0,14634.0,22292.0,275.0,28077
5784.0,29479.0,53118.0,4306.0,28097
10766.0,25597.0,56108.0,7612.0,28103
45379.0,34820.0,71921.0,34049.0,28105
58993.0,44713.0,92707.0,44377.0,28078
25264.0,24452.0,45503.0,15143.0,28083
2615.0,31215.0,53828.0,1806.0,28088
703.0,31167.0,53929.0,489.0,28101
20624.0,20162.0,33662.0,11345.0,28043
25493.0,23423.0,41128.0,17149.0,28086
38952.0,24011.0,45358.0,27336.0,28092
37045.0,23479.0,41319.0,18792.0,28054
2107.0,21940.0,40587.0,1641.0,28091
47.0,-666666666.0,35833.0,43.0,28102
30309.0,41125.0,101439.0,27572.0,28104
342.0,3721.0,39250.0,48.0,28109
33651.0,30403.0,61134.0,26986.0,28056
2847.0,24673.0,44167.0,2422.0,28071
17973.0,39723.0,89798.0,16104.0,28075
35340.0,35491.0,74925.0,29177.0,28079
7665.0,24306.0,48962.0,5954.0,28080
218.0,2679.0,33333.0,70.0,28089
34827.0,18515.0,34195.0,16917.0,28052
886.0,14500.0,25946.0,442.0,28076
26893.0,25283.0,48777.0,15816.0,28081
8100.0,20316.0,33013.0,6295.0,28090
5598.0,23073.0,41579.0,3357.0,28073
3590.0,23278.0,49391.0,2502.0,28098
7217.0,23618.0,37298.0,5036.0,28114
11050.0,31460.0,60760.0,6066.0,28134
5528.0,27997.0,55154.0,3913.0,28163
54651.0,40763.0,106688.0,48891.0,28173
53744.0,27976.0,56250.0,35400.0,28110
6337.0,27265.0,58460.0,5297.0,28124
7932.0,22712.0,45491.0,5525.0,28127
3240.0,22162.0,46350.0,2534.0,28137
20288.0,23499.0,43007.0,15048.0,28139
26626.0,23076.0,49993.0,18850.0,28112
2255.0,27500.0,49444.0,1734.0,28133
25540.0,25209.0,47881.0,16983.0,28147
3703.0,20662.0,34205.0,2037.0,28160
14570.0,28490.0,55682.0,11787.0,28164
6005.0,21327.0,43872.0,3157.0,28135
9776.0,24443.0,48849.0,7110.0,28138
24894.0,23543.0,42044.0,16063.0,28152
3003.0,26448.0,52860.0,1613.0,28159
11256.0,21412.0,37664.0,6313.0,28170
38140.0,38864.0,85376.0,29126.0,28117
2247.0,27319.0,57399.0,1871.0,28125
7277.0,23448.0,42526.0,5460.0,28128
9462.0,28060.0,57488.0,7199.0,28166
36087.0,29360.0,60256.0,24866.0,28115
20421.0,28848.0,53423.0,15732.0,28120
96.0,21083.0,21364.0,55.0,28169
5468.0,28738.0,46975.0,4692.0,28129
27168.0,27186.0,51029.0,19972.0,28146
2823.0,19648.0,31719.0,2518.0,28167
3246.0,15574.0,30650.0,2118.0,28119
24596.0,20934.0,36380.0,11653.0,28144
27861.0,21682.0,36485.0,17762.0,28150
10503.0,23034.0,47236.0,8724.0,28168
22357.0,43357.0,70098.0,12136.0,28209
46771.0,26355.0,45202.0,18755.0,28205
39950.0,31640.0,57492.0,28311.0,28214
44800.0,22059.0,36897.0,14927.0,28212
28895.0,24468.0,45259.0,8622.0,28217
55902.0,28382.0,54928.0,37354.0,28227
9717.0,19101.0,47392.0,5645.0,28174
37678.0,19010.0,31264.0,12814.0,28208
48931.0,35929.0,64490.0,26034.0,28210
6164.0,42456.0,58698.0,2198.0,28204
38452.0,43131.0,84247.0,27684.0,28226
14824.0,52496.0,79861.0,6435.0,28203
59742.0,25981.0,48515.0,34246.0,28215
12094.0,54255.0,87857.0,3466.0,28202
12164.0,19234.0,28528.0,4193.0,28206
9579.0,47328.0,131164.0,7280.0,28207
30760.0,41681.0,77369.0,18996.0,28211
40427.0,25086.0,42265.0,19826.0,28213
51205.0,27407.0,49440.0,28794.0,28216
37654.0,32460.0,63031.0,20423.0,28273
76673.0,35920.0,63097.0,46895.0,28269
0.0,-666666666.0,-666666666.0,0.0,28244
0.0,-666666666.0,-666666666.0,0.0,28282
0.0,-666666666.0,-666666666.0,0.0,28280
44040.0,24718.0,51228.0,15156.0,28262
37201.0,25046.0,47979.0,20324.0,28304
5961.0,28033.0,47849.0,3393.0,28305
33478.0,42109.0,93019.0,24993.0,28270
18195.0,15296.0,24396.0,5227.0,28301
70582.0,51631.0,101490.0,52685.0,28277
25018.0,38171.0,82380.0,17961.0,28278
29056.0,25750.0,39844.0,14479.0,28303
35723.0,27364.0,52856.0,24704.0,28348
296.0,25000.0,31806.0,117.0,28332
7255.0,21576.0,38464.0,4696.0,28339
4405.0,19245.0,37204.0,2953.0,28341
25823.0,18631.0,31069.0,13515.0,28352
27883.0,18899.0,34521.0,16624.0,28328
9712.0,18248.0,28941.0,6612.0,28340
12097.0,18369.0,32805.0,7641.0,28345
3094.0,17019.0,37169.0,2466.0,28349
143.0,51722.0,-666666666.0,125.0,28350
245.0,30227.0,45469.0,151.0,28342
6381.0,22950.0,-666666666.0,0.0,28310
18939.0,23595.0,42901.0,12804.0,28312
620.0,23291.0,116944.0,0.0,28308
18120.0,25224.0,41756.0,77.0,28307
14082.0,22626.0,49591.0,8172.0,28315
4593.0,25289.0,46629.0,4129.0,28318
9640.0,22985.0,37810.0,5997.0,28320
10542.0,16956.0,31068.0,7107.0,28333
4381.0,20215.0,36645.0,3106.0,28338
3957.0,24093.0,42372.0,2852.0,28344
41564.0,27147.0,48095.0,25442.0,28306
15434.0,27403.0,51491.0,12505.0,28327
25103.0,21332.0,36840.0,15658.0,28334
10383.0,21096.0,31547.0,6777.0,28337
1317.0,21901.0,33713.0,702.0,28343
22162.0,29770.0,58237.0,11071.0,28326
36264.0,27235.0,47305.0,17849.0,28311
3837.0,24821.0,52756.0,2910.0,28323
576.0,18800.0,41500.0,300.0,28325
56987.0,28328.0,45938.0,26761.0,28314
351.0,16864.0,-666666666.0,264.0,28330
2338.0,15375.0,26993.0,961.0,28347
4716.0,20228.0,35690.0,3762.0,28351
39103.0,21043.0,35275.0,20200.0,28358
17369.0,20124.0,42476.0,10602.0,28365
30.0,-666666666.0,35625.0,13.0,28367
6632.0,24841.0,41415.0,4636.0,28382
11151.0,19860.0,32652.0,8216.0,28384
4956.0,31024.0,60116.0,4015.0,28356
134.0,17321.0,42708.0,106.0,28375
24831.0,19564.0,33904.0,16166.0,28379
5333.0,25773.0,42196.0,3942.0,28394
2313.0,24873.0,51892.0,1884.0,28395
23990.0,26206.0,45189.0,11143.0,28390
14594.0,22311.0,39370.0,10066.0,28360
5863.0,28154.0,49511.0,4701.0,28391
1525.0,26051.0,39353.0,804.0,28363
17205.0,41630.0,83023.0,14001.0,28374
43211.0,26649.0,47737.0,27285.0,28376
2124.0,20546.0,41081.0,1290.0,28393
2729.0,21905.0,42924.0,1974.0,28396
2638.0,15440.0,30000.0,1760.0,28385
14493.0,17349.0,28271.0,7974.0,28372
14641.0,28173.0,49969.0,8734.0,28387
2585.0,25353.0,44225.0,1692.0,28373
15321.0,18172.0,30407.0,11502.0,28364
5364.0,20476.0,36053.0,4130.0,28366
13240.0,16909.0,26721.0,8271.0,28377
9029.0,17845.0,33707.0,6812.0,28383
6240.0,17804.0,30674.0,4020.0,28386
7866.0,18209.0,35343.0,4392.0,28398
2583.0,16699.0,30869.0,1853.0,28357
2736.0,18888.0,28958.0,1999.0,28369
7425.0,24592.0,49677.0,5189.0,28371
1582.0,19382.0,41000.0,1307.0,28392
33631.0,36487.0,78878.0,27612.0,28409
3751.0,18193.0,45000.0,2848.0,28420
40404.0,18128.0,35601.0,11818.0,28403
47.0,16667.0,-666666666.0,12.0,28424
1363.0,21361.0,37989.0,1149.0,28421
8068.0,21268.0,44396.0,5858.0,28422
2471.0,22376.0,40848.0,1812.0,28423
2046.0,24238.0,53317.0,1673.0,28430
6712.0,34073.0,63041.0,4723.0,28445
729.0,19545.0,25917.0,423.0,28448
1869.0,35313.0,70521.0,1399.0,28449
2058.0,17271.0,31172.0,1091.0,28432
35675.0,34997.0,70564.0,28026.0,28411
2102.0,19827.0,47177.0,1527.0,28436
4239.0,16859.0,28014.0,2415.0,28441
21002.0,30253.0,60886.0,17724.0,28443
1171.0,21741.0,38377.0,841.0,28434
6652.0,22589.0,35746.0,4420.0,28431
1595.0,16225.0,29545.0,1255.0,28438
1167.0,23209.0,36389.0,950.0,28439
32378.0,25939.0,53141.0,24031.0,28451
23923.0,19810.0,31138.0,8277.0,28401
37788.0,29370.0,51495.0,22482.0,28412
1786.0,21593.0,31716.0,1505.0,28399
1624.0,21493.0,49811.0,1175.0,28447
11903.0,18005.0,38241.0,6872.0,28425
7799.0,22382.0,46071.0,5187.0,28429
6542.0,33700.0,62207.0,3761.0,28428
5185.0,20607.0,30915.0,3626.0,28433
2291.0,18172.0,34242.0,1863.0,28435
2598.0,26695.0,49712.0,1610.0,28450
31788.0,28946.0,53724.0,18874.0,28405
1552.0,21017.0,37200.0,1172.0,28442
1803.0,21672.0,42147.0,1573.0,28444
18548.0,16311.0,29332.0,8332.0,28501
2929.0,19422.0,39318.0,2334.0,28508
11247.0,24173.0,45247.0,8101.0,28516
3648.0,21239.0,35000.0,3059.0,28456
21867.0,24751.0,47275.0,13562.0,28504
2545.0,42231.0,80560.0,1464.0,28480
5255.0,29550.0,53997.0,4198.0,28468
890.0,14652.0,-666666666.0,555.0,28452
7221.0,19869.0,35290.0,4765.0,28458
9822.0,16974.0,33223.0,5814.0,28463
6078.0,28788.0,49357.0,3962.0,28479
1399.0,30333.0,53300.0,1118.0,28510
3291.0,34764.0,63068.0,2386.0,28512
2605.0,17087.0,31678.0,1120.0,28515
19170.0,21632.0,34935.0,11987.0,28472
4758.0,21736.0,36563.0,3843.0,28478
9074.0,23897.0,45747.0,6143.0,28518
3845.0,18033.0,38247.0,2394.0,28453
5736.0,27524.0,67945.0,4508.0,28469
533.0,35950.0,55958.0,449.0,28520
2556.0,27072.0,54583.0,1932.0,28521
678.0,21964.0,40096.0,512.0,28511
10267.0,23869.0,45772.0,6809.0,28513
